word,cluster
elephant,2
leopard,2
dog,2
cat,2
aligator,2
ant,2
baboon,2
bear,2
bat,2
butterfly,2
camel,2
catfish,2
fish,2
cow,2
crow,2
boa,2
dolphin,2
donkey,2
eagle,2
falcon,2
fox,2
frog,2
gecko,2
giraffe,2
goat,2
gibbon,2
hampster,2
hawk,2
hare,2
horse,2
hummingbird,2
hippopotamus,2
iguana,2
jaguar,2
kangaroo,2
lion,2
leech,2
mouse,2
mosquito,2
owl,2
panda,2
penguin,2
parrot,2
peacock,2
rabbit,2
raven,2
shark,2
snake,2
spider,2
tiger,2
afghanistan,1
albania,1
algeria,1
andorra,1
angola,1
argentina,1
armenia,1
aruba,1
australia,1
austria,1
azerbaijan,1
bahrain,1
bangladesh,1
barbados,1
belarus,1
belgium,1
belize,1
benin,1
bhutan,1
bolivia,1
botswana,1
brazil,1
brunei,1
bulgaria,1
burma,1
burundi,1
cambodia,1
cameroon,1
canada,1
chad,1
chile,1
china,1
colombia,1
comoros,1
croatia,1
cuba,1
curacao,1
cyprus,1
czechia,1
denmark,1
djibouti,1
dominica,1
ecuador,1
egypt,1
eritrea,1
estonia,1
ethiopia,1
fiji,1
finland,1
france,1
gabon,1
georgia,2
germany,1
ghana,1
greece,1
grenada,1
guatemala,1
guinea,1
guinea-bissau,1
guyana,1
haiti,1
honduras,1
hungary,1
iceland,1
india,1
indonesia,1
iran,1
iraq,1
ireland,1
israel,1
italy,1
jamaica,1
japan,1
kazakhstan,1
kenya,1
kiribati,1
kosovo,1
kuwait,1
kyrgyzstan,1
laos,1
latvia,1
lebanon,1
lesotho,1
liberia,1
libya,1
liechtenstein,1
lithuania,1
luxembourg,1
macau,1
macedonia,1
madagascar,1
malawi,1
malaysia,1
maldives,1
mali,1
malta,1
mauritania,1
mauritius,1
mexico,1
micronesia,1
moldova,1
monaco,1
mongolia,1
montenegro,1
morocco,1
mozambique,1
namibia,1
nauru,1
nepal,1
netherlands,1
nicaragua,1
niger,1
nigeria,1
norway,1
oman,1
pakistan,1
palau,1
panama,1
paraguay,1
peru,1
philippines,1
poland,1
portugal,1
qatar,1
romania,1
russia,1
rwanda,1
samoa,1
senegal,1
serbia,1
seychelles,1
singapore,1
slovakia,1
somalia,1
spain,1
sudan,1
suriname,1
swaziland,1
sweden,1
switzerland,1
syria,1
taiwan,1
tajikistan,1
tanzania,1
thailand,1
togo,1
tonga,1
tunisia,1
turkey,1
turkmenistan,1
tuvalu,1
uganda,1
ukraine,1
uruguay,1
uzbekistan,1
vanuatu,1
venezuela,1
vietnam,1
yemen,1
zambia,1
zimbabwe,1
apple,2
apricot,0
avocado,0
banana,0
bilberry,0
blackberry,2
blackcurrant,0
blueberry,0
boysenberry,0
currant,0
cherry,2
cherimoya,0
cloudberry,0
coconut,0
cranberry,0
cucumber,0
damson,0
dragonfruit,0
durian,0
elderberry,0
feijoa,0
fig,0
gooseberry,0
grape,0
raisin,0
grapefruit,0
guava,0
honeyberry,0
huckleberry,2
jabuticaba,2
jackfruit,0
jambul,0
jujube,0
kiwano,0
kiwifruit,0
kumquat,0
lemon,0
lime,0
loquat,0
longan,0
lychee,0
mango,0
mangosteen,0
marionberry,0
melon,0
cantaloupe,0
honeydew,0
watermelon,0
mulberry,2
nectarine,0
nance,2
olive,0
orange,2
clementine,0
mandarine,0
tangerine,0
papaya,0
peach,0
aubergine,0
amaranth,0
asparagus,0
legumes,0
beans,0
chickpeas,0
lentils,0
peas,0
broccoli,0
cabbage,0
kohlrabi,0
cauliflower,0
celery,0
endive,0
fiddleheads,0
frisee,0
fennel,0
greens,0
kale,0
spinach,0
anise,0
basil,0
caraway,0
cilantro,0
coriander,0
chamomile,0
dill,0
lavender,0
marjoram,0
oregano,0
parsley,0
rosemary,0
sage,0
thyme,0
lettuce,0
arugula,0
mushrooms,0
nettles,0
okra,0
onions,0
chives,0
garlic,0
leek,0
onion,0
shallot,0
peppers,0
habanero,0
paprika,0
radicchio,0
rhubarb,0
turnip,0
radish,0
courgette,0
pumpkin,0
potato,0
quandong,2
sunchokes,0
zucchini,0
